Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB14,TAG Heuer,Pirelli,7,3,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB14,TAG Heuer,Pirelli,5,5,5s penalty
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB14,TAG Heuer,Pirelli,2,2,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB14,TAG Heuer,Pirelli,19,5,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB14,TAG Heuer,Pirelli,3,3,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB14,TAG Heuer,Pirelli,18,2,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB14,TAG Heuer,Pirelli,2,1,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB14,TAG Heuer,Pirelli,5,2,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB14,TAG Heuer,Pirelli,6,3,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB15,Honda,Pirelli,4,3,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB15,Honda,Pirelli,5,4,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB15,Honda,Pirelli,5,4,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB15,Honda,Pirelli,4,4,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB15,Honda,Pirelli,4,3,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB15,Honda,Pirelli,3,4,5s penalty
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB15,Honda,Pirelli,9,5,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB15,Honda,Pirelli,4,4,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB15,Honda,Pirelli,2,1,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB15,Honda,Pirelli,4,5,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB15,Honda,Pirelli,2,1,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB15,Honda,Pirelli,1,2,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB15,Honda,Pirelli,5,ab,Accident
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB15,Honda,Pirelli,19,8,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB15,Honda,Pirelli,4,3,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB15,Honda,Pirelli,9,4,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB15,Honda,Pirelli,5,ab,Brakes
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB15,Honda,Pirelli,4,6,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB15,Honda,Pirelli,3,3,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB15,Honda,Pirelli,1,1,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB15,Honda,Pirelli,2,2,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB16,Honda,Pirelli,2,ab,Electronics
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB16,Honda,Pirelli,2,3,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB16,Honda,Pirelli,7,2,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB16,Honda,Pirelli,3,2,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB16,Honda,Pirelli,4,1,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB16,Honda,Pirelli,3,2,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB16,Honda,Pirelli,3,3,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB16,Honda,Pirelli,5,ab,Engine
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB16,Honda,Pirelli,3,ab,Collision
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB16,Honda,Pirelli,2,2,
Aston Martin Red Bull Racing,33,VERSTAPPEN Max,RB16,Honda,Pirelli,3,2,
