n,Grand Prix,Team,N°,Driver,Model,Engine,Tyre,Grid,Race
289,Hungary,Aston Martin Red Bull Racing,23,ALBON Alexander,RB16,Honda,Pirelli,13,5,
290,Britain,Aston Martin Red Bull Racing,23,ALBON Alexander,RB16,Honda,Pirelli,12,8,
291,70th Anniversary,Aston Martin Red Bull Racing,23,ALBON Alexander,RB16,Honda,Pirelli,9,5,
292,Spain,Aston Martin Red Bull Racing,23,ALBON Alexander,RB16,Honda,Pirelli,6,8,
293,Belgium,Aston Martin Red Bull Racing,23,ALBON Alexander,RB16,Honda,Pirelli,5,6,
294,Italy,Aston Martin Red Bull Racing,23,ALBON Alexander,RB16,Honda,Pirelli,9,15,
295,Tuscany,Aston Martin Red Bull Racing,23,ALBON Alexander,RB16,Honda,Pirelli,4,3,
296,Russia,Aston Martin Red Bull Racing,23,ALBON Alexander,RB16,Honda,Pirelli,15,10,5s penalty
297,Eifel,Aston Martin Red Bull Racing,23,ALBON Alexander,RB16,Honda,Pirelli,5,ab,Overheating
298,Portugal,Aston Martin Red Bull Racing,23,ALBON Alexander,RB16,Honda,Pirelli,6,12,
299,Emilia-Romagna,Aston Martin Red Bull Racing,23,ALBON Alexander,RB16,Honda,Pirelli,6,15,
300,Turkey,Aston Martin Red Bull Racing,23,ALBON Alexander,RB16,Honda,Pirelli,4,7,
301,Bahrain,Aston Martin Red Bull Racing,23,ALBON Alexander,RB16,Honda,Pirelli,4,3,
302,Sakhir,Aston Martin Red Bull Racing,23,ALBON Alexander,RB16,Honda,Pirelli,12,6,
303,Abu Dhabi,Aston Martin Red Bull Racing,23,ALBON Alexander,RB16,Honda,Pirelli,5,4,
n,Grand Prix,Team,N°,Driver,Model,Engine,Tyre,Grid,Race
304,Bahrain,Red Bull Racing Honda,11,PEREZ Sergio,RB16B,Honda,Pirelli,11,5,
,,,,,,,,,,
305,Emilia-Romagna,Red Bull Racing Honda,11,PEREZ Sergio,RB16B,Honda,Pirelli,2,11,
306,Portugal,Red Bull Racing Honda,11,PEREZ Sergio,RB16B,Honda,Pirelli,4,4,
307,Spain,Red Bull Racing Honda,11,PEREZ Sergio,RB16B,Honda,Pirelli,8,5,
308,Monaco,Red Bull Racing Honda,11,PEREZ Sergio,RB16B,Honda,Pirelli,9,4,
309,Azerbaijan,Red Bull Racing Honda,11,PEREZ Sergio,RB16B,Honda,Pirelli,6,1,
310,France,Red Bull Racing Honda,11,PEREZ Sergio,RB16B,Honda,Pirelli,4,3,
311,Styria,Red Bull Racing Honda,11,PEREZ Sergio,RB16B,Honda,Pirelli,4,4,
312,Austria,Red Bull Racing Honda,11,PEREZ Sergio,RB16B,Honda,Pirelli,3,6,10s penalty
313,Britain,Red Bull Racing Honda,11,PEREZ Sergio,RB16B,Honda,Pirelli,20,16,
314,Hungary,Red Bull Racing Honda,11,PEREZ Sergio,RB16B,Honda,Pirelli,4,ab,Pile-up
315,Belgium,Red Bull Racing Honda,11,PEREZ Sergio,RB16B,Honda,Pirelli,7,19,
316,Netherlands,Red Bull Racing Honda,11,PEREZ Sergio,RB16B,Honda,Pirelli,20,8,
317,Italy,Red Bull Racing Honda,11,PEREZ Sergio,RB16B,Honda,Pirelli,8,5,5s penalty
318,Russia,Red Bull Racing Honda,11,PEREZ Sergio,RB16B,Honda,Pirelli,8,9,
319,Turkey,Red Bull Racing Honda,11,PEREZ Sergio,RB16B,Honda,Pirelli,6,3,
